submitted_on,waterpoint_photo,latitude,longitude,functional_status,current_problem,other_current_problem,water_quality_problems_available,available_water_quality_issues,other_water_quality_issues,households_using_waterpoint,water_unavailable_seasonally,water_unavailable_period,service_provider_available,type_of_provider,waterpoint_committee_active
07/04/2022,https://api.mwater.co/v3/images/9f9470c0e5e74f288886764cc9a2f2c6,-14.5202176,35.200997,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,3,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/5a5d98ea6fb1417fbb8271b2eba9df50,-14.4878017,35.1789,Not functional,Broken parts,NA,NA,NA,NA,NA,NA,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/2a728fe425824390bf48628f578d5bb3,-14.5257785,35.2151473,Not functional,"Broken parts, Structural problems - Civil works, apron, etc, Worn out parts",NA,NA,NA,NA,NA,NA,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
07/04/2022,https://api.mwater.co/v3/images/94ed273bc574444ea23bcee1c8c9fd1a,-14.4692284,35.1519955,Functional,NA,NA,Yes,Salinity or salty water,NA,20,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/260d1040621b47d6b6d99cb5d80f4678,-14.4878523,35.1807393,Functional,NA,NA,Yes,Colour,NA,10,No,NA,Yes,"Area or Water Mechanic, Unofficial/ Bush Mechanic",NA
07/04/2022,https://api.mwater.co/v3/images/d8f3d21f92d047beaa62d63a420bb272,-14.5233942,35.2152704,Functional,NA,NA,Yes,Salinity or salty water,NA,25,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/cd17f3496ae645f29bd254532dccfb5b,-14.5216317,35.2001583,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,25,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
07/04/2022,https://api.mwater.co/v3/images/2e218a4ea066429e9357ee280a12b5ca,-14.4889583,35.181335,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,12,Yes,"10, 11",Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/037fa10a91164620a35502ae2d95dcd2,-14.5218937,35.2003467,Partially functional but in need of repair,Low water flow - Low water pressure,NA,No,NA,NA,11,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/9d85c5c952d149099ed866edbec7f15b,-14.4687904,35.1560265,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,80,No,NA,Yes,Water Point Committee,Yes 
07/04/2022,https://api.mwater.co/v3/images/78a33e33947b486ebcb2ad41ef1ba1f3,-14.4879736,35.1818799,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,18,No,NA,Yes,"Local Government, Area or Water Mechanic",NA
07/04/2022,https://api.mwater.co/v3/images/968b2393e0ff4b04b65a0daa04e82a01,-14.522385,35.2004867,Partially functional but in need of repair,Worn out parts,NA,Yes,Sediment presence,NA,4,No,NA,Yes,Area or Water Mechanic,NA
